1353.966 45.00 0.00 
1355.482 45.06 0.00 
1356.984 45.06 0.00 
1358.507 45.00 0.00 
1360.011 45.00 0.00 
1361.526 45.00 0.00 
1363.035 45.00 0.00 
1364.551 45.00 0.00 
1366.054 45.00 0.00 
1367.573 45.00 0.00 
1369.077 44.94 12.50 
1370.596 44.94 12.52 
1372.099 44.94 12.55 
1373.605 44.94 12.57 
1375.121 44.94 12.59 
1376.62 44.88 25.12 
1378.143 44.88 25.16 
1379.651 44.88 25.21 
1381.166 44.88 25.26 
1382.673 44.88 25.30 
1384.187 44.88 25.35 
1385.696 44.81 37.90 
1387.206 44.88 25.47 
1388.717 44.81 38.02 
1390.237 44.81 38.09 
1391.733 44.81 38.16 
1393.253 44.81 38.23 
1394.76 44.75 50.80 
1396.275 44.75 50.89 
1397.784 44.75 50.98 
1399.298 44.75 51.08 
1400.806 44.75 51.17 
1402.31 44.69 63.77 
1403.828 44.69 63.88 
1405.329 44.69 64.00 
1406.85 44.69 64.12 
1408.353 44.69 64.23 
1409.874 44.69 64.35 
1411.375 44.69 64.47 
1412.89 44.69 64.59 
1414.394 44.63 77.20 
1415.921 44.63 77.34 
1417.416 44.63 77.48 
1418.944 44.63 77.62 
1420.441 44.63 77.77 
1421.962 44.63 77.91 
1423.464 44.63 78.05 
1424.968 44.63 78.19 
1426.486 44.56 90.83 
1427.991 44.56 90.99 
1429.51 44.56 91.16 
1431.013 44.56 91.32 
1432.531 44.56 91.48 
1434.033 44.56 91.65 
1435.553 44.56 91.81 
1437.056 44.56 91.98 
1438.573 44.56 92.14 
1440.078 44.50 104.80 
1441.598 44.50 104.99 
1443.101 44.50 105.18 
1444.617 44.50 105.37 
1446.122 44.50 105.55 
1447.643 44.50 105.74 
1449.146 44.50 105.93 
1450.653 44.50 106.12 
1452.167 44.50 106.30 
1453.673 44.44 118.99 
1455.198 44.50 106.70 
1456.695 44.44 119.39 
1458.212 44.44 119.60 
1459.718 44.44 119.81 
1461.244 44.44 120.02 
1462.741 44.44 120.23 
1464.264 44.44 120.45 
1465.763 44.44 120.66 
1467.279 44.44 120.87 
1468.785 44.44 121.08 
1470.303 44.44 121.29 
1471.806 44.44 121.50 
1473.33 44.44 121.71 
1474.828 44.44 121.92 
1476.352 44.44 122.13 
1477.858 44.44 122.34 
1479.362 44.44 122.55 
1480.883 44.44 122.77 
1482.383 44.44 122.98 
1483.904 44.44 123.19 
1485.4 44.44 123.40 
1486.925 44.44 123.61 
1488.431 44.38 136.32 
1489.95 44.44 124.05 
1491.448 44.44 124.27 
1492.97 44.44 124.48 
1494.467 44.44 124.69 
1495.989 44.44 124.90 
1497.495 44.44 125.11 
1499.013 44.44 125.32 
1500.515 44.44 125.53 
1502.02 44.44 125.74 
1503.538 44.44 125.95 
1505.038 44.38 138.66 
1506.564 44.44 126.40 
1508.062 44.38 139.11 
1509.58 44.44 126.84 
1511.089 44.44 127.05 
1512.606 44.44 127.27 
1514.111 44.44 127.48 
1515.628 44.44 127.69 
1517.138 44.44 127.90 
1518.65 44.44 128.11 
1520.159 44.44 128.32 
1521.674 44.44 128.53 
1523.181 44.44 128.74 
1524.684 44.44 128.95 
1526.197 44.44 129.16 
1527.706 44.44 129.38 
1529.224 44.44 129.59 
1530.722 44.44 129.80 
1532.247 44.44 130.01 
1533.751 44.44 130.22 
1535.271 44.44 130.43 
1536.767 44.44 130.64 
1538.296 44.44 130.85 
1539.797 44.44 131.06 
1541.309 44.44 131.27 
1542.817 44.44 131.48 
1544.331 44.44 131.70 
1545.841 44.50 119.41 
1547.352 44.50 119.59 
1548.862 44.44 132.28 
1550.384 44.44 132.49 
1551.882 44.44 132.70 
1553.387 44.50 120.41 
1554.904 44.50 120.60 
1556.408 44.50 120.79 
1557.927 44.50 120.98 
1559.428 44.50 121.16 
1560.949 44.50 121.35 
1562.453 44.50 121.54 
1563.972 44.50 121.73 
1565.476 44.50 121.91 
1566.994 44.50 122.10 
1568.498 44.50 122.29 
1570.017 44.50 122.48 
1571.521 44.50 122.66 
1573.042 44.50 122.85 
1574.542 44.50 123.04 
1576.048 44.50 123.23 
1577.568 44.50 123.41 
1579.071 44.50 123.60 
1580.588 44.50 123.79 
1582.097 44.50 123.98 
1583.612 44.50 124.16 
1585.121 44.50 124.35 
1586.635 44.50 124.54 
1588.142 44.50 124.73 
1589.662 44.50 124.91 
1591.163 44.50 125.10 
1592.683 44.50 125.29 
1594.187 44.50 125.48 
1595.702 44.50 125.66 
1597.202 44.50 125.85 
1598.725 44.50 126.04 
1600.231 44.50 126.23 
1601.738 44.50 126.41 
1603.251 44.50 126.60 
1604.752 44.50 126.79 
1606.275 44.50 126.98 
1607.783 44.50 127.16 
1609.297 44.50 127.35 
1610.797 44.50 127.54 
1612.32 44.50 127.73 
1613.826 44.50 127.91 
1615.342 44.50 128.10 
1616.852 44.50 128.29 
1618.622 44.50 128.48 
1644.237 :start
1644.257 :tmp-error
1645.777 44.50 100.00 
1647.279 44.56 87.69 
1648.796 44.56 87.85 
1650.301 44.56 88.02 
1651.817 44.56 88.18 
1653.323 44.63 75.84 
1654.842 44.63 75.98 
1656.347 44.63 76.12 
1657.85 44.63 76.27 
1659.367 44.63 76.41 
1660.871 44.63 76.55 
1662.389 44.69 64.19 
1663.895 44.69 64.30 
